zap_motif_positions,accession_id
JX472011.1,"[109, 245, 247, 248, 275, 276, 277, 308, 342, 361, 362, 376, 378, 400, 401, 476, 532, 536, 540, 587, 615, 615, 616, 616, 630, 631, 633, 647, 658, 675, 675, 845, 943, 944, 946, 970, 972, 993, 1082, 1084, 1094, 1094, 1095, 1095, 1329, 1332, 1339, 1339, 1340, 1410, 1414, 1573, 1573, 1574, 1574, 1637, 1759, 1760, 2036, 2037, 2038, 2132, 2135, 2143, 2288, 2376, 2379, 2429, 2430, 2473, 2476, 2477, 2598, 2600, 2601, 2638, 2650, 2653, 2675, 2688, 2801, 2802, 2811, 2979, 3020, 3072, 3096, 3166, 3237, 3243, 3244, 3285, 3286, 3287, 3299, 3301, 3302, 3303, 3341, 3342, 3449, 3450, 3452, 3604, 3624, 3625, 3625, 3626, 3626, 3721, 3738, 4100, 4101, 4101, 4105, 4216, 4406, 4417, 4436, 4458, 4460, 4482, 4483, 4486, 4490, 4499, 4502, 4532, 4579, 4581, 4657, 4791, 4793, 4795, 5081, 5108, 5143, 5159, 5160, 5160, 5187, 5187, 5189, 5206, 5209, 5269, 5270, 5480, 5520, 5584, 5656, 5657, 5658, 5668, 5669, 5670, 5671, 5702, 5703, 5703, 5707, 5761, 5771, 5773, 5875, 5876, 5877, 5902, 6000, 6002, 6017, 6069, 6071, 6320, 6419, 6420, 6423, 6571, 6665, 6666, 6667, 6693, 6694, 6695, 6709, 6710, 6748, 6751, 6863, 6865, 6865, 6867, 6906, 7059, 7060, 7061, 7064, 7092, 7095, 7228, 7231, 7280, 7335, 7336, 7337, 7401, 7409, 7414, 7444, 7477, 7478, 7650, 7676, 7730, 7777, 7798, 7799, 7950, 7951, 7952, 7984, 7985, 7986, 8007, 8009, 8010, 8011, 8291, 8292, 8294, 8301, 8303, 8305, 8365, 8368, 8369, 8403, 8405, 8417, 8450, 8451, 8570, 8581, 8581, 8582, 8583, 8637, 8639, 8641, 8714, 8716, 8718]"
JX472009.1,"[109, 245, 247, 248, 255, 257, 258, 259, 275, 276, 277, 308, 342, 361, 362, 376, 378, 400, 401, 476, 532, 536, 540, 587, 615, 615, 616, 616, 630, 631, 633, 647, 658, 675, 675, 845, 943, 944, 946, 970, 972, 993, 1082, 1084, 1094, 1094, 1095, 1095, 1329, 1332, 1339, 1339, 1340, 1410, 1414, 1573, 1573, 1574, 1574, 1637, 1759, 1760, 2132, 2135, 2143, 2288, 2376, 2379, 2429, 2430, 2473, 2476, 2477, 2598, 2600, 2601, 2638, 2650, 2653, 2675, 2688, 2801, 2802, 2811, 2979, 3020, 3072, 3096, 3166, 3237, 3243, 3244, 3285, 3286, 3287, 3299, 3301, 3302, 3303, 3341, 3342, 3449, 3450, 3604, 3624, 3625, 3625, 3626, 3626, 3721, 3738, 4100, 4101, 4101, 4105, 4216, 4406, 4417, 4436, 4458, 4460, 4482, 4483, 4486, 4493, 4502, 4532, 4579, 4581, 4657, 4791, 4793, 4795, 5081, 5108, 5143, 5159, 5160, 5187, 5187, 5189, 5206, 5209, 5269, 5270, 5480, 5520, 5584, 5656, 5657, 5658, 5668, 5669, 5670, 5671, 5686, 5687, 5702, 5703, 5703, 5707, 5761, 5771, 5773, 5875, 5876, 5877, 5902, 6000, 6002, 6017, 6069, 6071, 6261, 6320, 6419, 6420, 6423, 6571, 6665, 6666, 6667, 6693, 6694, 6695, 6709, 6710, 6748, 6751, 6863, 6865, 6865, 6867, 6906, 7059, 7060, 7061, 7064, 7092, 7228, 7231, 7280, 7335, 7336, 7337, 7401, 7409, 7414, 7444, 7477, 7478, 7650, 7676, 7730, 7777, 7798, 7799, 7950, 7951, 7952, 7984, 7985, 7986, 8007, 8009, 8010, 8011, 8291, 8292, 8294, 8301, 8303, 8305, 8365, 8368, 8369, 8403, 8405, 8417, 8450, 8451, 8570, 8581, 8581, 8582, 8583, 8637, 8639, 8641, 8714, 8716, 8718]"
JX472010.1,"[109, 245, 247, 248, 255, 257, 258, 259, 275, 276, 277, 308, 342, 361, 362, 376, 378, 400, 401, 476, 532, 536, 540, 587, 615, 615, 616, 616, 630, 631, 633, 647, 658, 675, 675, 845, 943, 944, 946, 970, 972, 993, 1082, 1084, 1094, 1094, 1095, 1095, 1329, 1332, 1339, 1339, 1340, 1410, 1414, 1573, 1573, 1574, 1574, 1637, 1759, 1760, 2132, 2135, 2143, 2288, 2376, 2379, 2429, 2430, 2473, 2476, 2477, 2598, 2600, 2601, 2638, 2650, 2653, 2675, 2688, 2801, 2802, 2811, 2979, 3020, 3096, 3166, 3237, 3243, 3244, 3285, 3286, 3287, 3299, 3301, 3302, 3303, 3341, 3342, 3449, 3450, 3604, 3624, 3625, 3625, 3626, 3626, 3721, 3738, 4100, 4101, 4101, 4105, 4216, 4406, 4417, 4436, 4458, 4460, 4482, 4483, 4486, 4490, 4499, 4502, 4532, 4579, 4581, 4657, 4791, 4793, 4795, 5081, 5108, 5143, 5159, 5160, 5187, 5187, 5189, 5206, 5209, 5269, 5270, 5520, 5584, 5656, 5657, 5658, 5668, 5669, 5670, 5671, 5686, 5687, 5702, 5703, 5703, 5707, 5761, 5771, 5773, 5875, 5876, 5877, 5902, 6000, 6002, 6017, 6069, 6071, 6261, 6320, 6419, 6420, 6423, 6571, 6665, 6666, 6667, 6693, 6694, 6695, 6709, 6710, 6748, 6751, 6863, 6865, 6865, 6867, 6906, 7059, 7060, 7061, 7064, 7092, 7095, 7228, 7231, 7280, 7335, 7336, 7337, 7401, 7409, 7414, 7444, 7477, 7478, 7650, 7676, 7730, 7777, 7798, 7799, 7950, 7951, 7952, 7984, 7985, 7986, 8007, 8009, 8010, 8011, 8291, 8292, 8294, 8301, 8303, 8305, 8365, 8368, 8369, 8403, 8405, 8417, 8450, 8451, 8570, 8581, 8581, 8582, 8583, 8637, 8639, 8641, 8714, 8716, 8718]"
JX472012.1,"[109, 245, 247, 248, 255, 257, 258, 259, 275, 276, 277, 308, 342, 361, 362, 376, 378, 400, 401, 476, 532, 536, 540, 587, 615, 615, 616, 616, 630, 631, 633, 647, 658, 675, 675, 845, 943, 944, 946, 970, 972, 993, 1082, 1084, 1094, 1094, 1095, 1095, 1329, 1332, 1339, 1339, 1340, 1410, 1414, 1573, 1573, 1574, 1574, 1637, 1759, 1760, 2132, 2135, 2143, 2288, 2376, 2379, 2429, 2430, 2473, 2476, 2477, 2598, 2600, 2601, 2638, 2650, 2653, 2675, 2688, 2801, 2802, 2811, 2979, 3020, 3072, 3096, 3166, 3237, 3243, 3244, 3285, 3286, 3287, 3299, 3301, 3302, 3303, 3341, 3342, 3449, 3450, 3604, 3624, 3625, 3625, 3626, 3626, 3721, 3738, 4100, 4101, 4101, 4105, 4216, 4302, 4306, 4406, 4417, 4436, 4458, 4460, 4482, 4483, 4486, 4493, 4502, 4532, 4579, 4581, 4657, 4791, 4793, 4795, 5081, 5108, 5143, 5159, 5160, 5187, 5187, 5189, 5206, 5209, 5269, 5270, 5480, 5520, 5584, 5656, 5657, 5658, 5668, 5669, 5670, 5671, 5686, 5687, 5702, 5703, 5703, 5707, 5761, 5771, 5773, 5875, 5876, 5877, 5902, 6000, 6002, 6017, 6069, 6071, 6261, 6320, 6419, 6420, 6423, 6571, 6665, 6666, 6667, 6693, 6694, 6695, 6709, 6710, 6748, 6751, 6863, 6865, 6865, 6867, 6906, 7059, 7060, 7061, 7064, 7092, 7228, 7231, 7280, 7335, 7336, 7337, 7401, 7409, 7414, 7444, 7477, 7478, 7650, 7676, 7730, 7777, 7798, 7799, 7950, 7951, 7952, 7984, 7985, 7986, 8007, 8009, 8010, 8011, 8291, 8292, 8294, 8301, 8303, 8305, 8365, 8368, 8369, 8403, 8405, 8417, 8450, 8451, 8570, 8581, 8581, 8582, 8583, 8637, 8639, 8641, 8714, 8716, 8718]"
JX472013.1,"[109, 245, 247, 248, 255, 257, 258, 259, 275, 276, 277, 308, 342, 361, 362, 376, 378, 400, 401, 476, 532, 536, 540, 587, 615, 615, 616, 616, 630, 631, 633, 647, 658, 675, 675, 845, 943, 944, 946, 970, 972, 993, 1082, 1084, 1094, 1094, 1095, 1095, 1183, 1184, 1184, 1185, 1185, 1329, 1332, 1339, 1339, 1340, 1410, 1414, 1573, 1573, 1574, 1574, 1637, 1759, 1760, 2132, 2135, 2143, 2288, 2376, 2379, 2429, 2430, 2473, 2476, 2477, 2598, 2600, 2601, 2638, 2653, 2675, 2801, 2802, 2811, 2979, 3020, 3072, 3166, 3237, 3243, 3244, 3285, 3286, 3287, 3299, 3301, 3302, 3303, 3341, 3342, 3449, 3450, 3604, 3624, 3625, 3625, 3626, 3626, 3721, 3738, 4015, 4016, 4017, 4100, 4101, 4101, 4105, 4216, 4406, 4417, 4436, 4458, 4460, 4482, 4483, 4486, 4493, 4502, 4532, 4579, 4581, 4657, 4700, 4791, 4793, 4795, 5081, 5108, 5143, 5159, 5160, 5187, 5187, 5189, 5206, 5269, 5270, 5479, 5480, 5520, 5584, 5656, 5657, 5658, 5668, 5669, 5670, 5671, 5686, 5687, 5702, 5703, 5703, 5707, 5761, 5771, 5773, 5875, 5876, 5877, 5902, 6000, 6002, 6017, 6069, 6071, 6261, 6320, 6419, 6420, 6423, 6571, 6665, 6666, 6667, 6693, 6694, 6695, 6709, 6710, 6748, 6751, 6863, 6865, 6865, 6867, 6906, 7059, 7060, 7061, 7064, 7092, 7228, 7231, 7280, 7335, 7336, 7337, 7401, 7409, 7414, 7444, 7477, 7478, 7650, 7676, 7730, 7777, 7798, 7799, 7950, 7951, 7952, 7984, 7985, 7986, 8007, 8009, 8010, 8011, 8291, 8292, 8294, 8301, 8303, 8305, 8365, 8368, 8369, 8403, 8405, 8417, 8450, 8451, 8570, 8581, 8581, 8582, 8583, 8637, 8639, 8641, 8714, 8716, 8718]"
EU155342.2,"[142, 278, 280, 281, 288, 290, 291, 292, 308, 309, 310, 341, 375, 394, 395, 409, 411, 431, 432, 433, 434, 506, 509, 565, 569, 573, 620, 648, 648, 649, 649, 663, 664, 666, 680, 691, 708, 708, 878, 976, 977, 979, 993, 995, 996, 1003, 1005, 1026, 1088, 1128, 1128, 1130, 1216, 1217, 1217, 1218, 1218, 1306, 1365, 1372, 1372, 1445, 1447, 1606, 1607, 1614, 1617, 1618, 1792, 1793, 2165, 2168, 2176, 2321, 2409, 2412, 2462, 2463, 2506, 2509, 2510, 2631, 2633, 2634, 2660, 2662, 2671, 2683, 2686, 2708, 2834, 2835, 2844, 2907, 2910, 3053, 3105, 3129, 3139, 3199, 3247, 3248, 3249, 3270, 3272, 3276, 3277, 3318, 3319, 3320, 3374, 3375, 3482, 3483, 3637, 3656, 3657, 3658, 3658, 3659, 3754, 3759, 4133, 4134, 4134, 4138, 4249, 4439, 4450, 4469, 4491, 4493, 4515, 4516, 4519, 4520, 4535, 4565, 4612, 4613, 4614, 4690, 4824, 4826, 4828, 5114, 5141, 5176, 5192, 5193, 5220, 5220, 5222, 5239, 5242, 5302, 5303, 5455, 5456, 5457, 5512, 5513, 5553, 5689, 5690, 5691, 5701, 5702, 5703, 5704, 5719, 5720, 5731, 5740, 5794, 5804, 5806, 5908, 5909, 5910, 5935, 5963, 6033, 6035, 6050, 6102, 6227, 6231, 6294, 6353, 6382, 6452, 6453, 6456, 6533, 6534, 6536, 6604, 6698, 6699, 6700, 6726, 6727, 6728, 6742, 6743, 6781, 6784, 6896, 6898, 7008, 7009, 7011, 7092, 7093, 7094, 7125, 7261, 7264, 7313, 7368, 7369, 7434, 7442, 7447, 7477, 7510, 7511, 7531, 7532, 7533, 7534, 7683, 7763, 7810, 7831, 7832, 8040, 8042, 8043, 8044, 8274, 8324, 8325, 8327, 8334, 8336, 8338, 8398, 8401, 8402, 8436, 8438, 8450, 8483, 8484, 8612, 8614, 8670, 8672, 8674, 9034, 9035, 9108, 9109, 9118, 9119]"
EU255986.1,"[6, 174, 310, 312, 313, 320, 322, 323, 324, 340, 341, 342, 373, 407, 441, 443, 465, 466, 538, 541, 597, 601, 605, 652, 680, 680, 681, 681, 695, 696, 698, 712, 723, 740, 740, 1025, 1027, 1028, 1035, 1037, 1058, 1147, 1149, 1248, 1249, 1249, 1250, 1250, 1394, 1397, 1404, 1404, 1405, 1477, 1479, 1638, 1638, 1639, 1639, 1824, 1825, 2197, 2200, 2208, 2353, 2441, 2444, 2494, 2495, 2538, 2541, 2542, 2663, 2665, 2666, 2703, 2718, 2742, 2744, 2867, 2876, 2939, 2942, 3044, 3085, 3137, 3161, 3171, 3220, 3222, 3231, 3279, 3280, 3281, 3302, 3304, 3350, 3351, 3352, 3406, 3407, 3471, 3475, 3476, 3514, 3515, 3669, 3689, 3690, 3690, 3691, 3691, 3786, 3791, 4165, 4166, 4166, 4170, 4183, 4185, 4281, 4282, 4471, 4482, 4501, 4523, 4525, 4547, 4548, 4551, 4558, 4597, 4644, 4645, 4646, 4720, 4722, 4856, 4860, 5146, 5173, 5208, 5224, 5225, 5252, 5271, 5274, 5334, 5335, 5544, 5545, 5585, 5721, 5722, 5723, 5733, 5734, 5735, 5736, 5751, 5752, 5767, 5772, 5826, 5836, 5838, 5872, 5940, 5941, 5942, 5967, 6065, 6067, 6134, 6136, 6385, 6484, 6485, 6488, 6565, 6566, 6568, 6636, 6730, 6731, 6732, 6758, 6759, 6760, 6774, 6775, 6816, 6928, 6930, 6930, 6932, 6971, 7040, 7041, 7043, 7293, 7296, 7400, 7401, 7466, 7474, 7479, 7509, 7542, 7543, 7563, 7564, 7565, 7566, 7715, 7795, 7834, 7842, 7863, 7864, 8049, 8050, 8051, 8072, 8074, 8075, 8076, 8357, 8359, 8366, 8368, 8370, 8430, 8433, 8434, 8468, 8470, 8482, 8515, 8516, 8644, 8646, 8646, 8648, 8702, 8704, 8706, 9140, 9141]"
EU255991.1,"[162, 298, 300, 301, 308, 310, 311, 312, 328, 329, 330, 361, 395, 414, 415, 429, 431, 453, 454, 585, 589, 593, 640, 668, 668, 669, 669, 683, 684, 686, 700, 711, 728, 728, 898, 996, 997, 999, 1023, 1025, 1046, 1108, 1135, 1137, 1147, 1147, 1148, 1148, 1236, 1237, 1237, 1238, 1238, 1326, 1382, 1385, 1392, 1392, 1393, 1626, 1627, 1690, 1812, 1813, 2185, 2188, 2196, 2341, 2385, 2388, 2429, 2432, 2482, 2483, 2526, 2529, 2530, 2651, 2653, 2654, 2703, 2706, 2728, 2854, 2855, 2864, 2927, 2930, 3032, 3073, 3124, 3125, 3149, 3219, 3267, 3268, 3269, 3290, 3296, 3297, 3338, 3339, 3340, 3352, 3354, 3355, 3356, 3394, 3395, 3416, 3657, 3662, 3664, 3666, 3677, 3678, 3678, 3679, 3679, 3774, 3779, 4022, 4023, 4024, 4026, 4068, 4069, 4070, 4153, 4154, 4154, 4158, 4269, 4459, 4470, 4489, 4511, 4513, 4535, 4536, 4539, 4546, 4555, 4585, 4632, 4634, 4710, 5134, 5161, 5196, 5212, 5213, 5240, 5240, 5242, 5259, 5262, 5322, 5323, 5532, 5533, 5573, 5709, 5710, 5711, 5721, 5722, 5723, 5724, 5739, 5740, 5755, 5760, 5814, 5824, 5826, 5928, 5929, 5930, 5955, 5983, 6053, 6055, 6070, 6122, 6124, 6373, 6472, 6473, 6476, 6624, 6718, 6719, 6720, 6746, 6747, 6748, 6762, 6763, 6801, 6804, 6916, 6918, 6918, 6979, 6981, 7112, 7113, 7114, 7145, 7171, 7236, 7238, 7281, 7284, 7333, 7388, 7389, 7454, 7462, 7467, 7497, 7530, 7531, 7703, 7705, 7783, 7830, 7851, 7852, 8003, 8004, 8005, 8037, 8038, 8039, 8060, 8062, 8063, 8064, 8344, 8345, 8347, 8354, 8356, 8358, 8418, 8421, 8422, 8456, 8458, 8470, 8503, 8504, 8623, 8634, 8634, 8635, 8636, 8690, 8692, 8694, 8767, 8769, 8771, 9128, 9129, 9138, 9139]"
EU255987.1,"[155, 291, 293, 294, 301, 303, 304, 305, 321, 322, 323, 354, 388, 407, 408, 422, 424, 444, 445, 446, 447, 519, 522, 578, 582, 586, 633, 661, 661, 662, 662, 676, 677, 679, 693, 704, 721, 721, 891, 1016, 1018, 1039, 1042, 1101, 1128, 1130, 1131, 1378, 1378, 1385, 1439, 1458, 1460, 1630, 1631, 1809, 2014, 2181, 2189, 2334, 2358, 2422, 2425, 2509, 2511, 2522, 2644, 2646, 2647, 2684, 2696, 2699, 2721, 2738, 2740, 2847, 2848, 2920, 2923, 3025, 3027, 3118, 3142, 3152, 3201, 3203, 3212, 3260, 3261, 3262, 3280, 3283, 3283, 3285, 3387, 3388, 3495, 3496, 3650, 3670, 3671, 3671, 3672, 3672, 3767, 4146, 4147, 4147, 4151, 4262, 4271, 4452, 4463, 4482, 4504, 4506, 4528, 4529, 4532, 4539, 4578, 4625, 4626, 4627, 4701, 4703, 4946, 4947, 4948, 5127, 5154, 5189, 5205, 5206, 5233, 5233, 5235, 5252, 5255, 5315, 5316, 5386, 5389, 5525, 5526, 5566, 5630, 5753, 5807, 5817, 5819, 5921, 5922, 5923, 5948, 5958, 5959, 6046, 6048, 6115, 6117, 6366, 6465, 6466, 6469, 6546, 6547, 6549, 6617, 6711, 6712, 6713, 6739, 6740, 6755, 6756, 6794, 6909, 6911, 6911, 6913, 6952, 7021, 7022, 7024, 7141, 7274, 7277, 7351, 7352, 7353, 7355, 7381, 7382, 7446, 7447, 7449, 7460, 7523, 7544, 7545, 7546, 7547, 7696, 7698, 7823, 7844, 7845, 8030, 8053, 8055, 8056, 8057, 8287, 8337, 8338, 8340, 8347, 8349, 8351, 8411, 8414, 8415, 8449, 8451, 8463, 8616, 8627, 8627, 8628, 8629, 8760, 8762, 9121, 9122, 9251]"
EU862826.1,"[164, 300, 302, 303, 310, 312, 313, 314, 330, 331, 332, 363, 397, 416, 417, 431, 433, 455, 456, 587, 591, 595, 642, 670, 670, 671, 671, 685, 686, 688, 702, 713, 730, 730, 998, 999, 1001, 1025, 1027, 1048, 1147, 1149, 1149, 1150, 1238, 1239, 1240, 1384, 1387, 1392, 1394, 1394, 1467, 1469, 1628, 1629, 1636, 1639, 1640, 1791, 1794, 1795, 1814, 1815, 2198, 2343, 2367, 2431, 2434, 2484, 2485, 2528, 2531, 2653, 2655, 2656, 2705, 2708, 2730, 2856, 2857, 2866, 2929, 2932, 3034, 3075, 3151, 3221, 3269, 3270, 3271, 3292, 3294, 3340, 3341, 3342, 3396, 3397, 3504, 3505, 3507, 3659, 3679, 3680, 3681, 3776, 4042, 4155, 4156, 4156, 4160, 4461, 4472, 4482, 4484, 4513, 4515, 4537, 4538, 4541, 4548, 4587, 4634, 4635, 4636, 4710, 4712, 4846, 4848, 4850, 5163, 5198, 5214, 5215, 5242, 5242, 5244, 5261, 5264, 5324, 5534, 5535, 5575, 5711, 5712, 5713, 5753, 5816, 5826, 5828, 5930, 5931, 5932, 5957, 6055, 6057, 6124, 6126, 6249, 6253, 6316, 6375, 6474, 6475, 6478, 6555, 6556, 6558, 6561, 6626, 6679, 6720, 6721, 6722, 6748, 6749, 6750, 6764, 6765, 6803, 6918, 6920, 6920, 6922, 6961, 7030, 7031, 7033, 7062, 7064, 7114, 7115, 7116, 7147, 7238, 7240, 7283, 7286, 7390, 7391, 7456, 7464, 7469, 7499, 7530, 7553, 7554, 7555, 7556, 7705, 7832, 7853, 7854, 8039, 8040, 8041, 8062, 8064, 8065, 8066, 8346, 8347, 8349, 8356, 8358, 8360, 8420, 8423, 8424, 8458, 8460, 8472, 8505, 8506, 8625, 8636, 8636, 8637, 8638, 8769, 8771, 9130, 9131, 9140, 9141]"
