python_based_indices,frequency,percentage,mapping
610,750,28.65876958349255,20
789,1196,45.701184562476115,67
940,1429,54.604508979747806,76
954,1557,59.49560565533053,89
986,1613,61.63546045089797,104
1037,1842,70.3859380970577,130
1060,1882,71.9144058081773,151
1067,1913,73.098968284295,157
1079,1915,73.17539166985098,169
1096,1013,38.70844478410394,183
1104,1729,66.06801681314482,187
1134,1740,66.48834543370272,209
1160,1925,73.55750859763087,232
1169,1930,73.74856706152083,240
1184,1904,72.75506304929308,255
1201,1726,65.95338173481085,270
1203,1922,73.44287351929691,272
1249,1955,74.70385938097057,308
1259,1953,74.6274359954146,317
1275,1962,74.97134123041651,327
1282,1954,74.66564768819259,334
1298,1258,48.070309514711504,349
1346,1303,49.78983568972105,378
1372,2408,92.01375620940007,390
1375,2550,97.43981658387466,393
1386,2500,95.52923194497517,404
1399,2534,96.82842949942682,415
1406,1872,71.5322888803974,422
1415,2612,99.80894153611005,431
1438,2587,98.8536492166603,454
1440,2605,99.54145968666413,456
1464,2545,97.24875811998471,480
1466,2520,96.29346580053496,482
1468,2424,92.62514329384791,484
1483,1782,68.09323653037829,487
1496,1734,66.25907527703477,500
1500,2604,99.50324799388613,504
1504,1580,60.374474589224306,508
1532,2523,96.40810087886894,516
1541,2610,99.73251815055407,525
1582,2594,99.12113106610623,546
1585,2124,81.1616354604509,549
1590,2294,87.65762323270921,554
1622,2055,78.52502865876959,578
1658,1926,73.59572029040886,614
1670,916,35.0019105846389,622
1690,2528,96.59915934275888,642
1701,2600,99.35040122277417,651
1735,2613,99.84715322888805,678
1738,2421,92.51050821551395,681
1745,1508,57.62323270920902,688
1747,2609,99.69430645777608,690
1767,2599,99.31218952999617,710
1778,1946,74.35995414596867,721
1782,2346,89.64463125716469,725
1788,2334,89.18609094382882,731
1791,2596,99.19755445166221,734
1811,2307,88.15437523882308,754
1815,2321,88.68933893771494,758
1818,2193,83.7982422621322,761
1822,2515,96.10240733664502,764
1837,2486,94.99426824608331,779
1854,2109,80.58846006878105,796
1861,2133,81.50554069545281,803
1865,1401,53.53458158196408,807
1879,2565,98.01299197554452,821
1882,1430,54.64272067252579,824
1966,1042,39.816583874665646,905
1985,2219,84.79174627435995,924
1995,969,37.027130301872376,934
2041,944,36.07183798242262,970
2054,1032,39.43446694688575,983
2060,944,36.07183798242262,988
2064,908,34.69621704241498,992
2084,968,36.988918609094384,1012
2100,1561,59.64845242644249,1028
2104,1425,54.451662208635845,1032
2109,907,34.65800534963699,1034
2136,787,30.07260221627818,1043
2147,973,37.179977072984336,1048
2162,1487,56.82078716087123,1063
2174,1057,40.389759266335496,1075
2253,1584,60.527321360336266,1091
2271,1364,52.12074894917845,1108
2279,2559,97.78372181887657,1116
2282,1455,55.598012991975544,1119
2290,1564,59.763087504776465,1127
2303,978,37.37103553687428,1139
2309,846,32.3270920901796,1145
2323,1040,39.74016048910967,1159
2333,1900,72.60221627818112,1169
2348,1767,67.52006113870844,1184
2394,1984,75.81199847153229,1230
2404,1308,49.980894153611004,1240
2416,803,30.683989300726022,1243
2444,1272,48.60527321360336,1271
2455,961,36.721436759648455,1282
2463,2446,93.4658005349637,1290
2512,635,24.264424914023692,1327
2518,738,28.20022927015667,1333
2550,2055,78.52502865876959,1356
2579,858,32.78563240351548,1385
2605,2050,78.33397019487963,1411
2614,828,31.639281620175773,1420
2641,941,35.95720290408865,1447
2672,1342,51.28009170806267,1478
2675,1395,53.30531142529614,1481
2678,1552,59.304547191440584,1484
2681,1190,45.47191440580818,1487
2696,903,34.50515857852503,1489
2770,774,29.57585021016431,1499
2779,1617,61.788307222009934,1505
2796,637,24.340848299579672,1517
2801,1002,38.28811616354604,1521
2808,695,26.557126480703094,1528
2882,792,30.263660680168133,1559
2915,1496,57.16469239587314,1592
2942,685,26.175009552923193,1615
2973,1355,51.776843714176536,1646
3061,1156,44.17271685135651,1719
3064,225,8.597630875047765,1722
3072,986,37.6767290790982,1730
3123,845,32.288880397401606,1769
3162,1362,52.04432556362247,1775
3187,892,34.08482995796714,1781
3225,185,7.069163163928162,1784
3229,975,37.25640045854031,1788
3276,889,33.97019487963317,1835
3285,932,35.61329766908674,1844
3296,670,25.601834161253343,1855
3322,782,29.881543752388232,1880
3336,1372,52.42644249140237,1894
3343,1515,57.89071455865495,1898
3351,718,27.435995414596867,1906
3355,1845,70.50057317539166,1910
3357,676,25.831104317921284,1912
3387,1523,58.19640810087887,1942
3397,808,30.87504776461597,1952
3429,1522,58.15819640810088,1975
3445,1662,63.50783339701949,1991
3492,2180,83.30149025601834,2033
3498,898,34.31410011463508,2038
3514,1350,51.58578525028659,2054
3686,1540,58.8460068781047,2100
3696,978,37.37103553687428,2110
3713,1728,66.02980512036683,2127
3718,1167,44.59304547191441,2132
3724,835,31.906763469621705,2138
3754,1003,38.326327856324035,2168
3762,621,23.72946121513183,2176
3826,1018,38.899503247993884,2237
3838,1067,40.7718761941154,2249
3855,83,3.1715705005731754,2266
3870,950,36.30110813909056,2281
3872,1685,64.38670233091327,2283
3877,905,34.58158196408101,2288
3881,2446,93.4658005349637,2292
3910,1637,62.552541077569735,2321
3957,785,29.9961788307222,2368
3969,1628,62.20863584256782,2380
3991,1029,39.31983186855177,2402
4024,1721,65.7623232709209,2435
4039,1637,62.552541077569735,2450
4057,488,18.647306075659152,2468
4059,393,15.017195261750096,2470
4084,1557,59.49560565533053,2495
4087,734,28.04738249904471,2498
4114,2296,87.73404661826518,2525
4116,1352,51.66220863584257,2527
4118,2367,90.44707680550249,2529
4120,1571,60.03056935422239,2531
4164,839,32.05961024073366,2572
4170,893,34.12304165074513,2578
4186,517,19.755445166220863,2594
4213,1823,69.65991593427589,2621
4218,1330,50.82155139472679,2626
4222,1050,40.12227741688957,2630
4240,804,30.72220099350401,2648
4262,1065,40.695452808559416,2665
4290,1014,38.746656476881924,2693
4296,1008,38.51738632021399,2698
4303,1174,44.86052732136034,2705
4315,1757,67.13794421092854,2714
4384,1272,48.60527321360336,2746
4402,2285,87.3137179977073,2757
4410,1677,64.08100878868935,2765
4439,802,30.64577760794803,2776
4449,897,34.27588842185709,2786
4451,1641,62.705387848681696,2788
4454,1233,47.11501719526175,2791
4463,1512,57.77607948032098,2798
4466,1499,57.27932747420711,2801
4478,925,35.34581581964081,2813
4489,840,32.09782193351165,2824
4556,125,4.776461597248758,2836
4578,714,27.283148643484907,2850
4654,1329,50.7833397019488,2905
4672,944,36.07183798242262,2915
4700,1305,49.866259075277036,2936
4704,2520,96.29346580053496,2940
4713,1823,69.65991593427589,2949
4715,1213,46.35078333970195,2951
4721,368,14.061902942300344,2957
4752,924,35.30760412686282,2986
4795,1207,46.12151318303401,3029
4852,1077,41.1539931218953,3077
4856,2357,90.06495987772259,3081
4858,1704,65.11272449369507,3083
4874,2424,92.62514329384791,3099
4882,963,36.79786014520443,3107
4884,798,30.49293083683607,3109
4890,643,24.570118456247613,3115
4892,2398,91.63163928162018,3117
4903,848,32.403515475735574,3128
4915,1168,44.63125716469239,3140
4944,1048,40.04585403133359,3169
4985,1199,45.81581964081009,3210
4999,825,31.524646541841804,3220
5006,921,35.19296904852885,3227
5013,1566,59.83951089033244,3234
5024,772,29.49942682460833,3245
5042,1090,41.65074512800917,3263
5052,250,9.552923194497517,3273
5074,654,24.990447076805502,3295
5099,1421,54.298815437523885,3311
5102,943,36.03362628964463,3314
5104,1145,43.75238823079862,3316
5108,2009,76.76729079098205,3320
5123,1685,64.38670233091327,3335
5132,1871,71.49407718761941,3344
5142,2361,90.21780664883454,3354
5174,1492,57.01184562476118,3386
5177,301,11.501719526175009,3389
5311,1235,47.19144058081773,3421
5320,1428,54.566297286969814,3430
5323,974,37.21818876576232,3433
5327,1339,51.165456629728695,3437
5338,740,28.27665265571265,3448
5379,1735,66.29728696981276,3489
5414,289,11.043179212839128,3524
5446,476,18.18876576232327,3556
5485,1265,48.33779136415743,3590
5491,1360,51.96790217806649,3596
5496,1098,41.95643867023309,3601
5506,1053,40.236912495223535,3611
5572,739,28.238440962934657,3677
5588,1540,58.8460068781047,3693
5611,2190,83.68360718379824,3716
5619,1506,57.54680932365304,3724
5637,1463,55.903706534199465,3742
5644,1250,47.76461597248758,3749
5647,1302,49.75162399694307,3752
5659,1004,38.36453954910203,3764
5663,2459,93.96255254107757,3768
5666,2373,90.67634696217043,3771
5669,1571,60.03056935422239,3774
5698,963,36.79786014520443,3802
5703,1034,39.510890332441726,3807
5731,1512,57.77607948032098,3835
5740,860,32.862055789071455,3844
5753,894,34.16125334352312,3857
5755,2025,77.37867787542989,3859
5762,1810,69.16316392816202,3866
5765,1224,46.77111196025984,3869
5783,1140,43.56132976690867,3887
5785,917,35.04012227741689,3889
5796,1639,62.62896446312572,3900
5812,1386,52.96140619029423,3916
5860,1325,50.63049293083684,3964
5869,896,34.2376767290791,3973
5933,1399,53.4581581964081,4037
5939,2038,77.87542988154375,4043
5959,2123,81.1234237676729,4063
5965,657,25.105082155139474,4069
5969,1253,47.87925105082155,4073
6019,236,9.017959495605655,4123
6077,797,30.454719144058082,4181
6112,1369,52.3118074130684,4216
6126,1712,65.41841803591899,4229
6141,1434,54.79556744363775,4244
6144,2001,76.46159724875812,4247
6147,784,29.957967137944213,4250
6186,1032,39.43446694688575,4289
6200,892,34.08482995796714,4303
6225,1295,49.48414214749713,4328
6254,937,35.80435613297669,4357
6260,1364,52.12074894917845,4363
6276,1549,59.18991211310661,4379
6293,1458,55.71264807030951,4396
6300,712,27.206725257928927,4403
6324,1836,70.15666794038975,4427
6348,1048,40.04585403133359,4451
6366,1702,65.03630110813909,4469
6384,899,34.352311807413066,4487
6439,1038,39.663737103553686,4541
6442,1498,57.241115781429116,4544
6448,1565,59.80129919755445,4550
6451,1267,48.41421474971341,4553
6453,243,9.285441345051586,4555
6463,780,29.805120366832252,4565
6481,1157,44.210928544134504,4583
6495,1506,57.54680932365304,4596
6497,894,34.16125334352312,4598
6506,1260,48.14673290026748,4607
6520,1119,42.758884218570884,4621
6527,1148,43.86702330913259,4628
6530,882,33.70271303018724,4631
6539,1021,39.01413832632786,4640
6542,1381,52.77034772640428,4643
6547,313,11.96025983951089,4648
6552,656,25.066870462361482,4652
6576,2073,79.21283912877341,4676
6579,1522,58.15819640810088,4679
6585,1720,65.72411157814291,4685
6608,948,36.22468475353458,4708
6627,1403,53.61100496752006,4727
6671,935,35.72793274742071,4768
6703,2562,97.89835689721055,4800
6706,2307,88.15437523882308,4803
6755,1239,47.344287351929694,4852
6763,1673,63.92816201757738,4860
6771,842,32.17424531906764,4868
6780,1361,52.00611387084448,4877
6785,1510,57.699656094765,4882
6789,751,28.696981276270538,4886
6810,2256,86.2055789071456,4907
6812,2060,78.71608712265953,4909
6836,1118,42.72067252579289,4933
6840,2057,78.60145204432557,4937
6843,1410,53.87848681696599,4940
6862,1677,64.08100878868935,4959
6866,682,26.060374474589224,4963
6881,1506,57.54680932365304,4978
6894,1808,69.08674054260604,4988
6927,2080,79.48032097821934,5021
6963,802,30.64577760794803,5029
7038,999,38.173481085212075,5104
7051,876,33.473442873519296,5117
7057,2304,88.0397401604891,5123
7084,1334,50.97439816583875,5149
7113,2446,93.4658005349637,5178
7163,824,31.486434849063812,5228
7189,925,35.34581581964081,5254
7225,1302,49.75162399694307,5290
7229,609,23.27092090179595,5294
7241,1450,55.40695452808559,5306
7246,1321,50.47764615972488,5311
7271,886,33.8555598012992,5327
7277,1505,57.508597630875045,5333
7280,937,35.80435613297669,5336
7298,1398,53.41994650363011,5354
7300,1314,50.21016431027895,5356
7322,2157,82.42262132212457,5378
7352,1444,55.177684371417655,5408
7360,1912,73.060756591517,5416
7400,2132,81.46732900267482,5456
7432,983,37.56209400076423,5488
7439,2292,87.58119984715323,5495
7457,1415,54.06954528085594,5513
7484,1438,54.94841421474971,5540
7499,788,30.110813909056173,5555
7501,851,32.51815055406954,5557
7506,934,35.68972105464272,5562
7574,1014,38.746656476881924,5612
7588,1321,50.47764615972488,5626
7876,934,35.68972105464272,5668
7888,941,35.95720290408865,5680
7904,1429,54.604508979747806,5696
7940,563,21.513183034008406,5729
8015,1250,47.76461597248758,5801
8018,508,19.411539931218954,5804
8024,953,36.415743217424534,5810
8030,869,33.20596102407337,5816
8036,1501,57.355750859763084,5822
8048,1318,50.36301108139091,5834
8063,1863,71.18838364539549,5849
8066,1071,40.92472296522736,5852
8072,1055,40.31333588077952,5858
8078,128,4.8910966755827285,5864
8100,961,36.721436759648455,5885
8124,913,34.88727550630493,5909
8126,1064,40.65724111578143,5911
8130,1038,39.663737103553686,5915
8135,1098,41.95643867023309,5920
8167,1616,61.75009552923194,5951
8184,514,19.640810087886894,5968
8209,1506,57.54680932365304,5993
8220,999,38.173481085212075,6004
8240,2138,81.69659915934275,6023
8252,2129,81.35269392434085,6035
8266,2558,97.74551012609858,6048
8269,2536,96.9048528849828,6051
8274,2185,83.49254871990829,6056
8282,1167,44.59304547191441,6064
8286,944,36.07183798242262,6068
8311,1583,60.489109667558274,6093
8325,2202,84.14214749713412,6107
8332,2384,91.09667558272831,6114
8356,2077,79.36568589988536,6136
8363,1200,45.854031333588075,6143
8368,951,36.33931983186855,6148
8377,2303,88.00152846771113,6155
8386,256,9.782193351165457,6164
8392,1703,65.07451280091708,6168
8394,1083,41.38326327856324,6170
8443,1783,68.13144822315628,6216
8483,905,34.58158196408101,6238
8514,2133,81.50554069545281,6260
8550,914,34.925487199082916,6296
8562,1426,54.48987390141383,6308
8632,1613,61.63546045089797,6378
8634,1024,39.12877340466183,6380
8653,2161,82.57546809323654,6399
8661,1587,60.641956438670235,6407
8677,1868,71.37944210928543,6423
8718,1598,61.062285059228124,6464
8723,979,37.40924722965227,6469
8733,1539,58.80779518532671,6479
8736,951,36.33931983186855,6482
8771,184,7.030951471150172,6517
8784,1387,52.99961788307222,6530
8795,1421,54.298815437523885,6541
8819,1624,62.05578907145586,6565
8822,1045,39.931218952999615,6568
8835,1774,67.78754298815437,6581
8837,1685,64.38670233091327,6583
8865,2400,91.70806266717615,6611
8878,1670,63.81352693924341,6624
8898,1534,58.61673672143676,6644
8903,2060,78.71608712265953,6649
8933,1309,50.019105846388996,6679
8948,929,35.49866259075277,6694
8952,1446,55.25410775697363,6698
8973,1495,57.12648070309515,6719
8980,1545,59.03706534199465,6726
8996,984,37.600305693542225,6742
9019,1659,63.39319831868552,6765
9053,821,31.371799770729844,6797
9061,1478,56.476881925869314,6805
9070,1055,40.31333588077952,6814
9083,1407,53.76385173863202,6827
9089,1557,59.49560565533053,6833
9094,1731,66.1444401987008,6838
9098,1181,45.128009170806266,6842
9104,963,36.79786014520443,6848
9112,970,37.06534199465036,6856
9152,2212,84.52426442491402,6895
9156,402,15.361100496752005,6899
9170,1372,52.42644249140237,6913
9203,1046,39.96943064577761,6946
9222,869,33.20596102407337,6962
9261,422,16.125334352311807,6989
9285,2087,79.74780282766527,7010
9288,928,35.46045089797478,7013
9367,1382,52.80855941918227,7055
9455,2212,84.52426442491402,7109
9460,1426,54.48987390141383,7114
9489,1078,41.19220481467329,7137
9512,1407,53.76385173863202,7148
9518,1006,38.440962934658,7154
9531,1503,57.43217424531907,7167
9543,933,35.65150936186473,7176
9557,478,18.26518914787925,7184
9561,122,4.661826518914788,7188
9572,334,12.762705387848682,7199
9580,675,25.792892625143296,7207
9582,1676,64.04279709591135,7209
9586,1398,53.41994650363011,7213
9601,1085,41.45968666411922,7228
9644,950,36.30110813909056,7240
9666,1534,58.61673672143676,7259
9692,633,24.188001528467712,7285
9706,380,14.520443255636225,7299
9733,933,35.65150936186473,7318
9738,2361,90.21780664883454,7323
9759,1150,43.943446694688575,7332
9763,1323,50.55406954528085,7336
9776,1099,41.99465036301108,7349
9803,949,36.262896446312574,7376
9868,982,37.52388230798624,7415
9876,918,35.078333970194876,7423
9880,1371,52.38823079862438,7427
9888,1055,40.31333588077952,7435
9933,741,28.314864348490637,7454
9975,208,7.948032097821933,7475
9989,2028,77.49331295376385,7481
9992,1570,59.9923576614444,7484
10043,1481,56.59151700420328,7534
10130,1446,55.25410775697363,7544
10133,2010,76.80550248376004,7547
10144,931,35.57508597630875,7558
10147,874,33.39701948796332,7561
10166,1262,48.223156285823464,7577
10171,821,31.371799770729844,7582
10190,1475,56.362246847535346,7592
10231,2062,78.79251050821551,7625
10237,276,10.546427206725259,7631
10245,1081,41.30683989300726,7639
10249,1124,42.949942682460836,7643
10254,1415,54.06954528085594,7648
10279,1033,39.472678639663734,7673
10293,1025,39.16698509743981,7687
10301,1761,67.2907909820405,7695
10334,1747,66.75582728314865,7728
10420,1469,56.13297669086741,7799
10447,950,36.30110813909056,7822
10450,2218,84.75353458158196,7825
10486,1197,45.73939625525411,7853
10529,1465,55.98012991975545,7876
10602,2111,80.66488345433703,7922
10606,2580,98.58616736721437,7926
10626,1631,62.3232709209018,7946
10644,2591,99.00649598777225,7964
10707,1771,67.67290790982041,8027
10719,1663,63.54604508979748,8039
10741,2421,92.51050821551395,8061
10753,2590,98.96828429499426,8073
10761,1723,65.83874665647689,8081
10770,990,37.82957585021016,8090
10779,301,11.501719526175009,8099
10783,2461,94.03897592663355,8103
10787,1029,39.31983186855177,8105
10793,1801,68.81925869316011,8111
10814,1379,52.6939243408483,8129
10817,2130,81.39090561711883,8132
10842,1538,58.76958349254872,8156
10860,1738,66.41192204814674,8174
10887,2563,97.93656858998854,8199
10902,920,35.15475735575086,8213
10910,959,36.64501337409247,8221
10931,199,7.604126862820023,8242
