python_based_indices,frequency,percentage,mapping
1176,1216,46.46541841803592,247
1353,2386,91.1730989682843,385
1378,2414,92.24302636606802,396
1398,1871,71.49407718761941,414
1430,2447,93.50401222774168,446
1496,1402,53.57279327474207,500
1658,860,32.862055789071455,614
1810,2116,80.85594191822697,753
1813,2199,84.02751241880016,756
1829,1367,52.23538402751242,771
1871,2383,91.05846388995033,813
2294,837,31.983186855177685,1131
2386,1147,43.828811616354606,1222
2396,508,19.411539931218954,1232
2399,370,14.138326327856324,1235
2664,1261,48.18494459304547,1470
3053,1145,43.75238823079862,1711
3343,489,18.68551776843714,1898
3862,840,32.09782193351165,2273
4106,2107,80.51203668322506,2517
4359,1067,40.7718761941154,2738
4713,329,12.571646923958731,2949
5169,300,11.463507833397019,3381
5315,719,27.474207107374855,3425
5330,565,21.589606419564387,3440
5483,1357,51.85326709973252,3588
5658,2348,89.72105464272067,3763
6136,1978,75.58272831486435,4239
6539,210,8.024455483377913,4640
6619,1395,53.30531142529614,4719
6698,1444,55.177684371417655,4795
7181,782,29.881543752388232,5246
7233,1348,51.50936186473061,5298
7269,1398,53.41994650363011,5325
7352,1221,46.65647688192587,5408
7580,1212,46.312571646923956,5618
8010,507,19.373328238440962,5796
8022,864,33.014902560183415,5808
8231,2081,79.51853267099733,6015
8360,927,35.42223920519679,6140
8653,1494,57.088269010317156,6399
9104,816,31.18074130683989,6848
9280,900,34.39052350019106,7005
9572,570,21.780664883454335,7199
10048,1410,53.87848681696599,7539
10521,1097,41.9182269774551,7868
10809,1958,74.81849445930455,8124
10833,1520,58.0817730225449,8148
11211,1484,56.70615208253726,8503
11376,878,33.54986625907528,8589
11533,509,19.449751623996942,8721
12116,189,7.222009935040123,9223
13254,115,4.3943446694688575,9592
2274,509,19.449751623996942,1111
2282,497,18.99121131066106,1119
2300,356,13.603362628964463,1136
2556,162,6.19029423003439,1362
2559,348,13.297669086740543,1365
2573,273,10.431792128391288,1379
3347,391,14.940771876194116,1902
3409,541,20.672525792892625,1964
3480,470,17.95949560565533,2021
3501,190,7.260221627818113,2041
3848,569,21.742453190676347,2259
4034,378,14.444019870080245,2445
4195,525,20.061138708444783,2603
4287,372,14.214749713412305,2690
4310,179,6.839893007260222,2709
4318,401,15.322888803974015,2717
4811,67,2.5601834161253345,3045
4892,326,12.457011845624761,3117
4942,208,7.948032097821933,3167
5566,289,11.043179212839128,3671
5578,479,18.30340084065724,3683
5666,566,21.62781811234238,3771
6262,590,22.544898739014137,4365
6515,4,0.15284677111196027,4616
6657,503,19.220481467329,4754
6676,1457,55.67443637753153,4773
6684,366,13.985479556744364,4781
7158,817,31.218952999617883,5223
7452,535,20.443255636224684,5508
8837,1344,51.35651509361865,6583
8895,1132,43.25563622468476,6641
9512,394,15.055406954528086,7148
9557,78,2.980512036683225,7184
9992,568,21.70424149789836,7484
10244,1066,40.73366450133741,7638
10884,1274,48.681696599159345,8196
11062,440,16.81314482231563,8357
11084,494,18.876576232327093,8379
11155,536,20.481467329002676,8450
11517,485,18.53267099732518,8705
1151,160,6.11387084447841,224
2058,53,2.0252197172334734,987
2285,41,1.5666794038975926,1122
2661,83,3.1715705005731754,1467
2964,65,2.4837600305693543,1637
3320,520,19.870080244554835,1878
5019,143,5.464272067252579,3240
5883,731,27.932747420710736,3987
6660,119,4.547191440580818,4757
8106,414,15.819640810087886,5891
8811,440,16.81314482231563,6557
8994,400,15.284677111196025,6740
9152,144,5.502483760030569,6895
9859,322,12.3041650745128,7406
10573,364,13.909056171188384,7907
12453,6,0.2292701566679404,9401
1957,14,0.5349636988918609,896
2251,112,4.279709591134887,1089
3225,83,3.1715705005731754,1784
4165,83,3.1715705005731754,2573
4219,61,2.330913259457394,2627
4246,13,0.4967520061138708,2654
5563,62,2.369124952235384,3668
5778,309,11.80741306839893,3882
6478,186,7.107374856706152,4580
7540,454,17.34810852120749,5596
9856,58,2.216278181123424,7403
9880,366,13.985479556744364,7427
9934,229,8.750477646159725,7455
9937,41,1.5666794038975926,7458
5642,190,7.260221627818113,3747
7359,27,1.0317157050057317,5415
5081,103,3.9358043561329765,3296
5435,116,4.432556362246848,3545
7388,18,0.6878104700038211,5444
8177,99,3.7829575850210166,5961
8380,47,1.7959495605655331,6158
8695,162,6.19029423003439,6441
9231,343,13.106610622850592,6971
5951,157,5.99923576614444,4055
9794,37,1.4138326327856323,7367
1826,85,3.2479938861291555,768
2275,32,1.2227741688956821,1112
2589,254,9.705769965609477,1395
2805,9,0.34390523500191056,1525
3259,95,3.6301108139090563,1818
3979,40,1.5284677111196026,2390
5346,36,1.3756209400076422,3456
5593,52,1.9870080244554833,3698
5661,90,3.439052350019106,3766
5760,216,8.253725640045854,3864
6525,116,4.432556362246848,4626
6679,279,10.661062285059229,4776
7304,182,6.954528085594192,5360
7356,46,1.757737867787543,5412
7997,15,0.573175391669851,5783
8683,74,2.8276652655712646,6429
9155,1057,40.389759266335496,6898
9210,79,3.018723729461215,6953
9459,45,1.719526175009553,7113
9673,21,0.8024455483377914,7266
9865,33,1.2609858616736722,7412
9898,25,0.9552923194497516,7439
10130,141,5.3878486816966,7544
